location	cabin url	image url	caption	lat	lng	cabin_page_url
	http://cabinporn.com/image/134469680972	http://40.media.tumblr.com/c4706e8905ba0d734997585e54fc4e44/tumblr_nyl7gr2Uz41qzwmsso1_1280.jpg	Cottage in the Northern Black Forest, Germany.			http://cabinporn.com/page/7
Aït Ben Haddou, Morocco	http://cabinporn.com/image/134404705287	http://40.media.tumblr.com/479027e17d015f4ebb1d0d9434b6d4c0/tumblr_mmxnlxctBJ1qzwmsso1_1280.jpg	Earthen hut in Aït Benhaddou, Morocco.	31.047043	-7.131899600000001	http://cabinporn.com/page/7
Seward, AK 99664, USA	http://cabinporn.com/image/134339011386	http://40.media.tumblr.com/b71dbdbb26f35d28f6d7dff7ea8db469/tumblr_nylyc2IsOi1qzwmsso1_1280.jpg	A-frame near Seward, Alaska. 	60.10416669999999	-149.4422222	http://cabinporn.com/page/7
Seward, AK 99664, USA	http://cabinporn.com/image/134273998145	http://40.media.tumblr.com/1bb72b5499e807989d6e8795b29a0ca6/tumblr_nya915C2Fr1qzwmsso1_1280.jpg	Barrel hut in the Mátra Protected Area of Northern Hungary.	60.10416669999999	-149.4422222	http://cabinporn.com/page/7
Styria, Austria	http://cabinporn.com/image/134203029822	http://36.media.tumblr.com/a43c139face2575c167fd9c1e6c1bab1/tumblr_ntxx46AwHm1qzwmsso1_1280.jpg	Hay barn near Lake Giglach in Styria, Austria.	47.3593442	14.4699827	http://cabinporn.com/page/7
Whitefield, ME, USA	http://cabinporn.com/image/134132347224	http://40.media.tumblr.com/506ea96c289c9c04473f90abb33e1955/tumblr_nxiqjsDFTK1qzwmsso1_1280.jpg	Old barn in Whitefield, Maine. 	44.1700735	-69.6253222	http://cabinporn.com/page/7
Landmannalaugar, Iceland	http://cabinporn.com/image/134065170147	http://36.media.tumblr.com/c473a9e4b7a8f3d83ae167134aa57c34/tumblr_nthmqdsueS1qzwmsso1_1280.jpg	A-frame in Landmannalaugar, Iceland.	63.983	-19.067	http://cabinporn.com/page/7
Via di Pezza, 67048 Rocca di Mezzo AQ, Italy	http://cabinporn.com/image/134001554380	http://40.media.tumblr.com/475971877197b87b9d2a9870eef33b38/tumblr_nxc92cU5fR1qzwmsso1_1280.jpg	Cabin in Piani di Pezza, Abruzzo, Italy.	42.20001449999999	13.5186946	http://cabinporn.com/page/8
Villa Cerro Castillo, Coyhaique, XI Región, Chile	http://cabinporn.com/image/133935771728	http://36.media.tumblr.com/06b0c634292fe5460fc3e1f69b179970/tumblr_ny9verGf7m1qzwmsso1_1280.jpg	Cabin in Villa Cerro Castillo, Chile.	-46.1208678	-72.1535155	http://cabinporn.com/page/8
San Carlos de Bariloche, Río Negro, Argentina	http://cabinporn.com/image/133869790300	http://41.media.tumblr.com/tumblr_m7fecfqbT21qzwmsso1_1280.jpg	Cabin in San Carlos de Bariloche, Argentina.	-41.1334722	-71.3102778	http://cabinporn.com/page/8
